1949,31967.775000,28993.791000,2973.984000,2206.691000,-0.110000
1950,34598.567000,31620.849000,2977.718000,2382.046000,-0.170000
1951,36953.661000,33995.197000,2958.464000,2526.687000,-0.070000
1952,36726.037000,33785.856000,2940.181000,2473.374000,0.010000
1953,37640.598000,34809.138000,2831.460000,2536.893000,0.080000
1954,36613.540000,33859.441000,2754.099000,2422.253000,-0.130000
1955,40178.285000,37394.298000,2783.987000,2684.786000,-0.140000
1956,41721.757000,38871.175000,2850.582000,2777.043000,-0.190000
1957,41753.909000,38904.715000,2849.194000,2756.562000,0.050000
1958,41609.280000,38694.190000,2915.090000,2703.189000,0.060000
1959,43422.965000,40521.626000,2901.339000,2807.171000,0.030000
1960,45040.732000,42112.528000,2928.204000,2914.009000,-0.020000
1961,45690.782000,42738.556000,2952.226000,2942.791000,0.060000
1962,47775.047000,44657.603000,3117.444000,3064.923000,0.030000
1963,49588.632000,46492.201000,3096.431000,3184.517000,0.050000
1964,51755.425000,48530.177000,3225.248000,3316.753000,-0.200000
1965,53953.222000,50557.406000,3395.816000,3461.741000,-0.110000
1966,56949.167000,53516.705000,3432.462000,3654.179000,-0.060000
1967,58894.820000,55204.607000,3690.213000,3749.382000,-0.020000
1968,62401.480000,58628.824000,3772.656000,3964.523000,-0.080000
1969,65596.259000,61501.367000,4094.892000,4134.687000,0.050000
1970,67816.828000,63746.807000,4070.021000,4261.308000,0.030000
1971,69260.271000,64998.058000,4262.213000,4311.927000,-0.080000
1972,72660.036000,68278.027000,4382.009000,4532.008000,0.010000
1973,75652.280000,71241.342000,4410.938000,4721.985000,0.160000
1974,73929.322000,69187.470000,4741.852000,4561.227000,-0.070000
1975,71931.011000,67243.891000,4687.120000,4426.421000,-0.010000
1976,75939.029000,71211.878000,4727.151000,4694.157000,-0.100000
1977,77919.991000,73711.025000,4208.966000,4835.525000,0.180000
1978,79906.703000,74901.263000,5005.440000,4883.910000,0.070000
1979,80811.788000,75688.934000,5122.854000,4946.627000,0.160000
1980,78021.113000,72592.771000,5428.342000,4750.409000,0.260000
1981,76057.187000,70643.499000,5413.688000,4627.298000,0.320000
1982,73046.189000,67066.552000,5979.637000,4394.160000,0.140000
1983,72915.394000,66419.782000,6495.612000,4370.655000,0.310000
1984,76570.697000,70132.833000,6437.864000,4596.159000,0.160000
1985,76334.135000,70250.118000,6084.017000,4587.080000,0.120000
1986,76598.888000,70487.748000,6111.140000,4598.319000,0.180000
1987,79008.203000,73386.396000,5621.807000,4756.461000,0.320000
1988,82659.169000,77202.415000,5456.754000,4980.694000,0.390000
1989,84739.993000,78505.335000,6234.658000,5067.911000,0.270000
1990,84432.860000,78392.836000,6040.024000,5039.904000,0.450000
1991,84380.300000,78312.515000,6067.785000,4994.607000,0.410000
1992,85724.885000,79904.329000,5820.556000,5094.939000,0.220000
1993,87265.888000,81183.979000,6081.909000,5185.750000,0.230000
1994,88983.234000,82996.092000,5987.142000,5263.554000,0.320000
1995,90930.704000,84373.396000,6557.308000,5323.207000,0.450000
1996,93934.511000,86923.622000,7010.889000,5512.120000,0.330000
1997,94506.999000,87490.189000,7016.810000,5582.872000,0.460000
1998,94920.190000,88427.455000,6492.735000,5631.400000,0.610000
1999,96544.524000,90028.936000,6515.588000,5692.972000,0.380000
2000,98702.224000,92600.557000,6101.667000,5866.555000,0.390000
2001,96063.734000,90901.962000,5161.772000,5764.687000,0.540000
2002,97535.391000,91804.489000,5730.902000,5809.242000,0.630000
2003,97834.773000,91892.306000,5942.467000,5859.885000,0.620000
2004,100002.368000,93939.697000,6062.671000,5978.810000,0.540000
2005,100101.576000,93880.764000,6220.812000,5999.153000,0.680000
2006,99391.541000,92805.298000,6586.243000,5913.748000,0.640000
2007,100893.363000,94382.996000,6510.367000,6003.095000,0.670000
2008,98753.711000,91562.165000,7191.546000,5816.570000,0.540000
2009,93942.216000,86317.284000,7624.932000,5392.024000,0.660000
2010,97513.239000,89199.477000,8313.762000,5584.575000,0.720000
2011,96862.560000,87563.012000,9299.548000,5445.886000,0.610000
2012,94374.079000,85488.061000,8886.018000,5228.963000,0.640000
2013,97116.801000,87698.898000,9417.903000,5356.035000,0.680000
2014,98276.210000,88509.693000,9766.517000,5413.237000,0.750000
2015,97375.221000,87646.456000,9728.765000,5262.842000,0.900000
2016,97335.208000,86912.336000,10422.872000,5170.511000,1.010000
2017,97594.743000,86398.820000,11195.923000,5130.577000,0.920000
2018,101161.852000,89653.488000,11508.364000,5284.407000,0.850000
2019,100273.806000,88765.208000,11508.598000,5146.269000,0.980000
